old,new,coverage_LAC,setsize_LAC,coverage_LAC_W,setsize_LAC_W
philosophy,physics,{'base_icl1': 0.8638059701492538},{'base_icl1': 1.9104477611940298},{'base_icl1': 0.9048507462686567},{'base_icl1': 2.2276119402985075}
philosophy,health,{'base_icl1': 0.8693941778127459},{'base_icl1': 1.4862313139260426},{'base_icl1': 0.9103068450039339},{'base_icl1': 1.7678992918961447}
philosophy,history,{'base_icl1': 0.9233716475095786},{'base_icl1': 1.2796934865900382},{'base_icl1': 0.9386973180076629},{'base_icl1': 1.3697318007662835}
philosophy,biology,{'base_icl1': 0.9267015706806283},{'base_icl1': 1.3219895287958114},{'base_icl1': 0.9712041884816754},{'base_icl1': 1.780104712041885}
philosophy,other,{'base_icl1': 0.9313835770528683},{'base_icl1': 1.6130483689538808},{'base_icl1': 0.9100112485939258},{'base_icl1': 1.4848143982002249}
philosophy,math,{'base_icl1': 0.845360824742268},{'base_icl1': 2.34135166093929},{'base_icl1': 0.8465063001145475},{'base_icl1': 2.343642611683849}
philosophy,computer science,{'base_icl1': 0.8482142857142857},{'base_icl1': 1.7976190476190477},{'base_icl1': 0.9136904761904762},{'base_icl1': 2.2202380952380953}
philosophy,economics,{'base_icl1': 0.8652246256239601},{'base_icl1': 1.5557404326123128},{'base_icl1': 0.9068219633943427},{'base_icl1': 1.7587354409317804}
philosophy,psychology,{'base_icl1': 0.9156883671291356},{'base_icl1': 1.295624332977588},{'base_icl1': 0.9829242262540021},{'base_icl1': 2.4204909284951976}
philosophy,engineering,{'base_icl1': 0.85},{'base_icl1': 1.8833333333333333},{'base_icl1': 0.95},{'base_icl1': 2.441666666666667}
philosophy,geography,{'base_icl1': 0.91875},{'base_icl1': 1.1625},{'base_icl1': 0.94375},{'base_icl1': 1.225}
philosophy,chemistry,{'base_icl1': 0.7976190476190477},{'base_icl1': 2.0317460317460316},{'base_icl1': 0.9285714285714286},{'base_icl1': 2.8253968253968256}
philosophy,culture,{'base_icl1': 0.9136690647482014},{'base_icl1': 1.3237410071942446},{'base_icl1': 0.9100719424460432},{'base_icl1': 1.3057553956834533}
philosophy,business,{'base_icl1': 0.95},{'base_icl1': 1.2735294117647058},{'base_icl1': 0.9852941176470589},{'base_icl1': 1.6147058823529412}
philosophy,law,{'base_icl1': 0.7956521739130434},{'base_icl1': 1.7934782608695652},{'base_icl1': 0.85},{'base_icl1': 2.1467391304347827}
philosophy,politics,{'base_icl1': 0.9021113243761996},{'base_icl1': 1.326295585412668},{'base_icl1': 0.9616122840690979},{'base_icl1': 1.8809980806142035}
physics,health,{'base_icl1': 0.9024390243902439},{'base_icl1': 1.6750590086546027},{'base_icl1': 0.9370574350904799},{'base_icl1': 2.115656963021243}
physics,history,{'base_icl1': 0.9348659003831418},{'base_icl1': 1.3601532567049808},{'base_icl1': 0.9444444444444444},{'base_icl1': 1.4655172413793103}
physics,biology,{'base_icl1': 0.9424083769633508},{'base_icl1': 1.4293193717277486},{'base_icl1': 0.9685863874345549},{'base_icl1': 1.638743455497382}
physics,other,{'base_icl1': 0.9572553430821147},{'base_icl1': 1.7705286839145107},{'base_icl1': 0.968503937007874},{'base_icl1': 1.9122609673790776}
