old,new,coverage_LAC,setsize_LAC,coverage_LAC_W,setsize_LAC_W
philosophy,physics,{'base_icl1': 0.8638059701492538},{'base_icl1': 2.1138059701492535},{'base_icl1': 0.9085820895522388},{'base_icl1': 2.4029850746268657}
philosophy,health,{'base_icl1': 0.8662470495672698},{'base_icl1': 1.6813532651455547},{'base_icl1': 0.8835562549173879},{'base_icl1': 1.8001573564122737}
philosophy,history,{'base_icl1': 0.9252873563218391},{'base_icl1': 1.3199233716475096},{'base_icl1': 0.9521072796934866},{'base_icl1': 1.5804597701149425}
philosophy,biology,{'base_icl1': 0.9424083769633508},{'base_icl1': 1.455497382198953},{'base_icl1': 0.9738219895287958},{'base_icl1': 1.8952879581151831}
philosophy,other,{'base_icl1': 0.9100112485939258},{'base_icl1': 1.6681664791901012},{'base_icl1': 0.9021372328458943},{'base_icl1': 1.6197975253093364}
philosophy,math,{'base_icl1': 0.8762886597938144},{'base_icl1': 2.7399770904925544},{'base_icl1': 0.8969072164948454},{'base_icl1': 2.8648339060710195}
philosophy,computer science,{'base_icl1': 0.8690476190476191},{'base_icl1': 2.056547619047619},{'base_icl1': 0.9761904761904762},{'base_icl1': 3.2916666666666665}
philosophy,economics,{'base_icl1': 0.8752079866888519},{'base_icl1': 1.7271214642262895},{'base_icl1': 0.9234608985024958},{'base_icl1': 1.9767054908485857}
philosophy,psychology,{'base_icl1': 0.9050160085378869},{'base_icl1': 1.376734258271078},{'base_icl1': 0.9957310565635006},{'base_icl1': 4.518676627534685}
philosophy,engineering,{'base_icl1': 0.875},{'base_icl1': 2.3},{'base_icl1': 0.95},{'base_icl1': 2.875}
philosophy,geography,{'base_icl1': 0.95},{'base_icl1': 1.3375},{'base_icl1': 0.9625},{'base_icl1': 1.475}
philosophy,chemistry,{'base_icl1': 0.8650793650793651},{'base_icl1': 2.3531746031746033},{'base_icl1': 0.9523809523809523},{'base_icl1': 3.4047619047619047}
philosophy,culture,{'base_icl1': 0.9532374100719424},{'base_icl1': 1.356115107913669},{'base_icl1': 0.9568345323741008},{'base_icl1': 1.4496402877697843}
philosophy,business,{'base_icl1': 0.9470588235294117},{'base_icl1': 1.35},{'base_icl1': 0.9823529411764705},{'base_icl1': 2.088235294117647}
philosophy,law,{'base_icl1': 0.8358695652173913},{'base_icl1': 2.0793478260869565},{'base_icl1': 0.9304347826086956},{'base_icl1': 2.893478260869565}
philosophy,politics,{'base_icl1': 0.9078694817658349},{'base_icl1': 1.4261036468330135},{'base_icl1': 0.982725527831094},{'base_icl1': 2.4664107485604605}
physics,health,{'base_icl1': 0.8945712037765539},{'base_icl1': 1.886703383162864},{'base_icl1': 0.9315499606608969},{'base_icl1': 2.3013375295043272}
physics,history,{'base_icl1': 0.946360153256705},{'base_icl1': 1.4616858237547892},{'base_icl1': 0.9521072796934866},{'base_icl1': 1.6226053639846743}
physics,biology,{'base_icl1': 0.9502617801047121},{'base_icl1': 1.581151832460733},{'base_icl1': 0.9712041884816754},{'base_icl1': 1.8481675392670156}
physics,other,{'base_icl1': 0.9358830146231721},{'base_icl1': 1.844769403824522},{'base_icl1': 0.9595050618672666},{'base_icl1': 2.062992125984252}
physics,math,{'base_icl1': 0.9289805269186713},{'base_icl1': 3.0927835051546393},{'base_icl1': 0.9805269186712485},{'base_icl1': 3.8350515463917527}
physics,computer science,{'base_icl1': 0.9196428571428571},{'base_icl1': 2.3422619047619047},{'base_icl1': 0.9642857142857143},{'base_icl1': 2.9613095238095237}
physics,economics,{'base_icl1': 0.9151414309484193},{'base_icl1': 1.913477537437604},{'base_icl1': 0.9584026622296173},{'base_icl1': 2.3910149750415974}
physics,psychology,{'base_icl1': 0.9252934898612594},{'base_icl1': 1.4919957310565635},{'base_icl1': 0.9477054429028815},{'base_icl1': 1.7182497331910351}
physics,engineering,{'base_icl1': 0.925},{'base_icl1': 2.6083333333333334},{'base_icl1': 0.9416666666666667},{'base_icl1': 2.716666666666667}
physics,geography,{'base_icl1': 0.9625},{'base_icl1': 1.44375},{'base_icl1': 0.9625},{'base_icl1': 1.59375}
physics,chemistry,{'base_icl1': 0.9007936507936508},{'base_icl1': 2.6706349206349205},{'base_icl1': 0.9047619047619048},{'base_icl1': 2.7182539682539684}
physics,culture,{'base_icl1': 0.960431654676259},{'base_icl1': 1.4712230215827338},{'base_icl1': 0.9748201438848921},{'base_icl1': 1.6510791366906474}
physics,business,{'base_icl1': 0.961764705882353},{'base_icl1': 1.4588235294117646},{'base_icl1': 0.9705882352941176},{'base_icl1': 1.7647058823529411}
physics,law,{'base_icl1': 0.8804347826086957},{'base_icl1': 2.351086956521739},{'base_icl1': 0.9217391304347826},{'base_icl1': 2.7369565217391303}
physics,politics,{'base_icl1': 0.9232245681381958},{'base_icl1': 1.5738963531669865},{'base_icl1': 0.9424184261036468},{'base_icl1': 1.800383877159309}
health,history,{'base_icl1': 0.946360153256705},{'base_icl1': 1.5},{'base_icl1': 0.9521072796934866},{'base_icl1': 1.5670498084291187}
health,biology,{'base_icl1': 0.9554973821989529},{'base_icl1': 1.6570680628272252},{'base_icl1': 0.9528795811518325},{'base_icl1': 1.617801047120419}
health,other,{'base_icl1': 0.9437570303712036},{'base_icl1': 1.890888638920135},{'base_icl1': 0.9460067491563554},{'base_icl1': 1.905511811023622}
health,math,{'base_icl1': 0.9392898052691867},{'base_icl1': 3.15922107674685},{'base_icl1': 0.9404352806414662},{'base_icl1': 3.189003436426117}
health,computer science,{'base_icl1': 0.9345238095238095},{'base_icl1': 2.4285714285714284},{'base_icl1': 0.9404761904761905},{'base_icl1': 2.4910714285714284}
health,economics,{'base_icl1': 0.9251247920133111},{'base_icl1': 1.9850249584026622},{'base_icl1': 0.913477537437604},{'base_icl1': 1.9051580698835275}
health,psychology,{'base_icl1': 0.927427961579509},{'base_icl1': 1.5314834578441836},{'base_icl1': 0.9295624332977588},{'base_icl1': 1.551760939167556}
